"sink_loc","source_loc","block_name","source_func"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/account/helpCenter/helpCenter.js|22:12:22:57","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/account/helpCenter/helpCenter.js|22:12:22:57","entry node of functio ...  })\n  }","navBindtap"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/account/helpCenter/helpCenter.js|22:12:22:57","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/account/helpCenter/helpCenter.js|22:12:22:25","entry node of functio ...  })\n  }","navBindtap"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/account/helpCenter/helpCenter.js|22:12:22:57","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/account/helpCenter/helpCenter.js|22:12:22:20","entry node of functio ...  })\n  }","navBindtap"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/account/helpCenter/manual/manual.js|29:12:29:57","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/account/helpCenter/manual/manual.js|29:12:29:57","entry node of functio ...  })\n  }","navBindtap"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/account/helpCenter/manual/manual.js|29:12:29:57","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/account/helpCenter/manual/manual.js|29:12:29:25","entry node of functio ...  })\n  }","navBindtap"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/account/helpCenter/manual/manual.js|29:12:29:57","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/account/helpCenter/manual/manual.js|29:12:29:20","entry node of functio ...  })\n  }","navBindtap"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/device.js|88:12:88:82","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/device.js|88:57:88:82","entry node of functio ...  })\n  }","roomClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/device.js|88:12:88:82","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/device.js|88:57:88:79","entry node of functio ...  })\n  }","roomClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/device.js|88:12:88:82","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/device.js|88:57:88:71","entry node of functio ...  })\n  }","roomClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/gatewayManagement/deviceList/deviceList.js|139:12:139:63","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/gatewayManagement/deviceList/deviceList.js|134:18:134:19","entry node of functio ...  })\n  }","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/gatewayManagement/deviceList/deviceList.js|139:12:139:63","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/gatewayManagement/deviceList/deviceList.js|136:21:136:37","guard: this.da ... aset.id is true","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/gatewayManagement/deviceList/deviceList.js|139:12:139:63","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/gatewayManagement/deviceList/deviceList.js|136:21:136:29","guard: this.da ... aset.id is true","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/gatewayManagement/deviceList/deviceList.js|139:12:139:63","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/gatewayManagement/deviceList/deviceList.js|136:54:136:72","guard: this.da ... aset.id is true","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/gatewayManagement/deviceList/deviceList.js|139:12:139:63","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/gatewayManagement/deviceList/deviceList.js|136:54:136:62","guard: this.da ... aset.id is true","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/gatewayManagement/deviceList/deviceList.js|139:12:139:63","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/gatewayManagement/deviceList/deviceList.js|136:84:136:99","guard: this.da ... aset.id is true","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/gatewayManagement/deviceList/deviceList.js|139:12:139:63","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/device/gatewayManagement/deviceList/deviceList.js|136:84:136:92","guard: this.da ... aset.id is true","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|128:12:128:68","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|121:13:121:38","entry node of functio ...  })\n  }","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|128:12:128:68","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|121:13:121:35","entry node of functio ...  })\n  }","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|128:12:128:68","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|121:13:121:27","entry node of functio ...  })\n  }","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|128:12:128:68","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|122:11:125:7","entry node of functio ...  })\n  }","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|128:12:128:68","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|124:15:124:54","entry node of functio ...  })\n  }","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|128:12:128:68","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|124:15:124:46","entry node of functio ...  })\n  }","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|128:12:128:68","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|124:15:124:35","entry node of functio ...  })\n  }","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|128:12:128:68","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|124:15:124:26","entry node of functio ...  })\n  }","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|128:12:128:68","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|126:69:126:109","var o","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|128:12:128:68","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|126:69:126:100","var o","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|128:12:128:68","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|126:69:126:89","var o","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|128:12:128:68","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/index/index.js|126:69:126:80","var o","deviceClick"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userInfo/userInfo.js|153:12:153:100","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userInfo/userInfo.js|153:57:153:75","entry node of functio ...  })\n  }","bindUser"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userInfo/userInfo.js|153:12:153:100","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userInfo/userInfo.js|153:57:153:65","entry node of functio ...  })\n  }","bindUser"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userInfo/userInfo.js|153:12:153:100","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userInfo/userInfo.js|153:89:153:100","entry node of functio ...  })\n  }","bindUser"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userInfo/userInfo.js|153:12:153:100","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userInfo/userInfo.js|153:89:153:97","entry node of functio ...  })\n  }","bindUser"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userList.js|254:12:254:60","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userList.js|249:18:249:19","entry node of functio ...  })\n  }","userDetail"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userList.js|254:12:254:60","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userList.js|251:23:251:41","guard: this.da ... aset.id is true","userDetail"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userList.js|254:12:254:60","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userList.js|251:23:251:31","guard: this.da ... aset.id is true","userDetail"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userList.js|254:12:254:60","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxb4c434b2298416ed/pages/user/userList/userList.js|251:53:251:66","guard: this.da ... aset.id is true","userDetail"
