"sink_loc","source_loc","block_name","source_func"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/miniprogram_npm/@vant/weapp/mixins/link.js|16:14:16:14","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/miniprogram_npm/@vant/weapp/mixins/link.js|14:15:14:23","var t = ... ata[e];","jumpLink"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/enroll/enroll.js|51:12:51:41","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/enroll/enroll.js|51:12:51:41","guard: e.curre ... .target is true","clickInfo"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/enroll/enroll.js|51:12:51:41","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/enroll/enroll.js|51:12:51:34","guard: e.curre ... .target is true","clickInfo"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/enroll/enroll.js|51:12:51:41","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/enroll/enroll.js|51:12:51:26","guard: e.curre ... .target is true","clickInfo"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/enroll-apply/enroll-apply.js|55:12:55:41","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/enroll-apply/enroll-apply.js|55:12:55:41","guard: e.curre ... .target is true","clickInfo"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/enroll-apply/enroll-apply.js|55:12:55:41","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/enroll-apply/enroll-apply.js|55:12:55:34","guard: e.curre ... .target is true","clickInfo"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/enroll-apply/enroll-apply.js|55:12:55:41","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/enroll-apply/enroll-apply.js|55:12:55:26","guard: e.curre ... .target is true","clickInfo"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/index/index.js|101:12:101:76","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/index/index.js|101:49:101:76","entry node of functio ...  })\n  }","clickNotice"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/index/index.js|101:12:101:76","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/index/index.js|101:49:101:71","entry node of functio ...  })\n  }","clickNotice"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/index/index.js|101:12:101:76","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/home/index/index.js|101:49:101:63","entry node of functio ...  })\n  }","clickNotice"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/tabBar/record/record.js|53:12:53:108","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/tabBar/record/record.js|53:68:53:108","guard: ""\u5ba1\u6838\u4e2d"" ! ... _states is true","clickDetail"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/tabBar/record/record.js|53:12:53:108","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/tabBar/record/record.js|53:68:53:95","guard: ""\u5ba1\u6838\u4e2d"" ! ... _states is true","clickDetail"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/tabBar/record/record.js|53:12:53:108","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/tabBar/record/record.js|53:68:53:90","guard: ""\u5ba1\u6838\u4e2d"" ! ... _states is true","clickDetail"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/tabBar/record/record.js|53:12:53:108","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wxd91c461252e017d4/pages/tabBar/record/record.js|53:68:53:82","guard: ""\u5ba1\u6838\u4e2d"" ! ... _states is true","clickDetail"
