"sink_loc","source_loc","block_name","source_func"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/jsBridge.js|7:14:7:74","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/jsBridge.js|7:24:7:36","entry node of functio ... )\n    }","u"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/jsBridge.js|7:14:7:74","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/jsBridge.js|7:24:7:29","entry node of functio ... )\n    }","u"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/jsBridge.js|7:14:7:74","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/jsBridge.js|22:34:22:41","guard: c.isNativeMp is true","success"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/jsBridge.js|7:14:7:74","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/jsBridge.js|22:45:22:55","guard: c.isNativeMp is false","success"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/navigator-main.js|21:10:23:8","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/navigator-main.js|21:20:21:25","guard: t.default.isNativeMp is true","toErrorTip"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/navigator.js|48:10:48:10","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/jsBridge.js|12:64:15:7","guard: u is false","scanQRCode"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/navigator.js|48:10:48:10","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/navigator.js|93:78:93:83","o","mixNavigateToByName"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/navigator.js|48:10:48:10","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/navigator.js|111:9:111:15","e = arg ... 0] : {}","w"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/navigator.js|48:10:48:10","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/wx/util.js|12:44:12:45","guard: e[e.length - 1] is false","n"
"D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/navigator.js|48:10:48:10","D:/mine/dasanxia/夏令营/zhemin yang/minicat/MiniCat/unpacked/wx3976dfa5f550c258/lib/wx/util.js|12:49:15:3","guard: e.length > 0 is false","n"
